pair,year,n,wins,losses,acc
EURUSD,2000,117,64,45,54.7
EURUSD,2001,254,121,101,47.64
EURUSD,2002,325,148,144,45.54
EURUSD,2003,552,266,245,48.19
EURUSD,2004,636,286,290,44.97
EURUSD,2005,562,254,259,45.2
EURUSD,2006,483,224,218,46.38
EURUSD,2007,476,228,198,47.9
EURUSD,2008,658,327,302,49.7
EURUSD,2009,747,350,378,46.85
EURUSD,2010,755,351,372,46.49
EURUSD,2011,759,361,371,47.56
EURUSD,2012,822,395,420,48.05
EURUSD,2013,820,425,386,51.83
EURUSD,2014,805,379,412,47.08
EURUSD,2015,824,400,413,48.54
EURUSD,2016,832,401,423,48.2
EURUSD,2017,830,384,439,46.27
GBPUSD,2000,91,47,38,51.65
GBPUSD,2001,154,63,72,40.91
GBPUSD,2002,171,90,64,52.63
GBPUSD,2003,474,214,229,45.15
GBPUSD,2004,525,234,255,44.57
GBPUSD,2005,497,242,227,48.69
GBPUSD,2006,450,213,202,47.33
GBPUSD,2007,448,206,220,45.98
GBPUSD,2008,545,263,261,48.26
GBPUSD,2009,738,365,345,49.46
GBPUSD,2010,695,317,335,45.61
GBPUSD,2011,706,324,349,45.89
GBPUSD,2012,816,392,416,48.04
GBPUSD,2013,820,415,391,50.61
GBPUSD,2014,817,426,380,52.14
GBPUSD,2015,827,384,433,46.43
GBPUSD,2016,831,411,408,49.46
GBPUSD,2017,821,343,466,41.78
USDJPY,2000,142,81,58,57.04
USDJPY,2001,436,218,203,50.0
USDJPY,2002,526,230,269,43.73
USDJPY,2003,684,338,301,49.42
USDJPY,2004,681,361,270,53.01
USDJPY,2005,638,305,299,47.81
USDJPY,2006,628,309,278,49.2
USDJPY,2007,642,307,294,47.82
USDJPY,2008,699,370,300,52.93
USDJPY,2009,718,365,310,50.84
USDJPY,2010,666,346,273,51.95
USDJPY,2011,571,324,217,56.74
USDJPY,2012,802,438,355,54.61
USDJPY,2013,824,393,418,47.69
USDJPY,2014,816,380,429,46.57
USDJPY,2015,826,413,407,50.0
USDJPY,2016,831,440,386,52.95
USDJPY,2017,831,430,398,51.74
EURJPY,2002,497,195,272,39.24
EURJPY,2003,705,352,311,49.93
EURJPY,2004,772,413,314,53.5
EURJPY,2005,699,361,285,51.65
EURJPY,2006,710,355,308,50.0
EURJPY,2007,725,364,328,50.21
EURJPY,2008,789,429,332,54.37
EURJPY,2009,818,431,367,52.69
EURJPY,2010,811,402,382,49.57
EURJPY,2011,788,407,351,51.65
EURJPY,2012,824,421,399,51.09
EURJPY,2013,824,401,420,48.67
EURJPY,2014,828,382,438,46.14
EURJPY,2015,828,418,406,50.48
EURJPY,2016,832,446,383,53.61
EURJPY,2017,832,393,432,47.24
EURGBP,2002,236,79,106,33.47
EURGBP,2003,517,245,178,47.39
EURGBP,2004,558,249,213,44.62
EURGBP,2005,374,157,156,41.98
EURGBP,2006,278,89,110,32.01
EURGBP,2007,237,99,81,41.77
EURGBP,2008,497,256,189,51.51
EURGBP,2009,690,296,325,42.9
EURGBP,2010,692,329,299,47.54
EURGBP,2011,629,293,280,46.58
EURGBP,2012,795,379,397,47.67
EURGBP,2013,793,397,377,50.06
EURGBP,2014,736,336,381,45.65
EURGBP,2015,815,452,352,55.46
EURGBP,2016,828,422,398,50.97
EURGBP,2017,824,425,391,51.58
AUDUSD,2001,47,17,27,36.17
AUDUSD,2002,139,60,63,43.17
AUDUSD,2003,410,167,200,40.73
AUDUSD,2004,532,249,240,46.8
AUDUSD,2005,477,248,193,51.99
AUDUSD,2006,446,216,196,48.43
AUDUSD,2007,533,274,220,51.41
AUDUSD,2008,649,362,264,55.78
AUDUSD,2009,760,375,359,49.34
AUDUSD,2010,764,370,364,48.43
AUDUSD,2011,784,389,362,49.62
AUDUSD,2012,815,436,376,53.5
AUDUSD,2013,820,410,407,50.0
AUDUSD,2014,813,393,412,48.34
AUDUSD,2015,824,370,447,44.9
AUDUSD,2016,831,401,425,48.26
AUDUSD,2017,829,410,410,49.46
EURUSD,2026,416,295,115,70.91
GBPUSD,2026,416,361,52,86.78
USDJPY,2026,416,355,60,85.34
EURJPY,2026,416,375,40,90.14
EURGBP,2026,416,346,70,83.17
AUDUSD,2026,416,319,96,76.68
