pair,era,best_window,acc,n
EURUSD,2000-2006,16:30,47.96,3013
EURUSD,2000-2006,16:20,47.56,3030
EURUSD,2000-2006,15:20,47.52,2704
EURUSD,2007-2012,16:25,51.64,4227
EURUSD,2007-2012,16:20,51.29,4241
EURUSD,2007-2012,16:30,50.76,4236
EURUSD,2013-2018,16:20,50.39,4106
EURUSD,2013-2018,16:15,50.12,4100
EURUSD,2013-2018,15:00,50.04,4031
GBPUSD,2000-2006,16:30,48.77,2405
GBPUSD,2000-2006,16:25,48.56,2438
GBPUSD,2000-2006,16:20,48.23,2436
GBPUSD,2007-2012,16:20,50.96,3972
GBPUSD,2007-2012,16:25,50.83,3990
GBPUSD,2007-2012,16:15,50.36,3973
GBPUSD,2013-2018,16:15,50.27,4112
GBPUSD,2013-2018,16:20,50.24,4122
GBPUSD,2013-2018,16:25,50.13,4119
USDJPY,2000-2006,16:45,50.7,3718
USDJPY,2000-2006,16:50,50.39,3681
USDJPY,2000-2006,15:35,50.27,3724
USDJPY,2007-2012,16:45,54.09,4095
USDJPY,2007-2012,16:50,53.65,4054
USDJPY,2007-2012,16:55,52.64,4041
USDJPY,2013-2018,17:50,53.8,4130
USDJPY,2013-2018,17:45,53.66,4130
USDJPY,2013-2018,17:55,53.17,4123
EURJPY,2000-2006,16:45,49.88,3368
EURJPY,2000-2006,15:30,49.59,3400
EURJPY,2000-2006,16:40,49.54,3383
EURJPY,2007-2012,16:45,52.13,4748
EURJPY,2007-2012,16:50,51.77,4754
EURJPY,2007-2012,16:40,51.61,4755
EURJPY,2013-2018,17:45,52.19,4139
EURJPY,2013-2018,17:50,52.13,4140
EURJPY,2013-2018,17:55,51.79,4138
EURGBP,2000-2006,15:30,43.72,1880
EURGBP,2000-2006,15:40,43.71,1931
EURGBP,2000-2006,15:35,43.61,1924
EURGBP,2007-2012,16:30,48.06,3581
EURGBP,2007-2012,16:35,47.65,3538
EURGBP,2007-2012,16:25,47.53,3596
EURGBP,2013-2018,15:05,50.95,3849
EURGBP,2013-2018,16:40,50.85,3996
EURGBP,2013-2018,16:00,50.43,3984
AUDUSD,2000-2006,16:20,48.78,2056
AUDUSD,2000-2006,16:25,48.69,2097
AUDUSD,2000-2006,16:15,48.24,2046
AUDUSD,2007-2012,16:35,51.64,4270
AUDUSD,2007-2012,16:40,51.24,4305
AUDUSD,2007-2012,16:25,51.05,4284
AUDUSD,2013-2018,16:20,52.05,4121
AUDUSD,2013-2018,16:15,51.41,4118
AUDUSD,2013-2018,16:10,51.2,4119
EURUSD,2026,16:40,70.91,416
EURUSD,2026,16:35,70.19,416
EURUSD,2026,16:30,67.79,416
GBPUSD,2026,16:40,86.78,416
GBPUSD,2026,16:45,84.13,416
GBPUSD,2026,16:35,82.45,416
USDJPY,2026,16:40,85.34,416
USDJPY,2026,16:35,83.41,416
USDJPY,2026,16:45,82.45,416
EURJPY,2026,16:40,90.14,416
EURJPY,2026,16:35,89.18,416
EURJPY,2026,16:45,83.17,416
EURGBP,2026,16:40,83.17,416
EURGBP,2026,16:35,81.49,416
EURGBP,2026,16:45,76.92,416
AUDUSD,2026,16:40,76.68,416
AUDUSD,2026,16:35,75.24,416
AUDUSD,2026,16:45,73.8,416
