time,dir,entry,exit,result
2026-02-02 20:00:00+00:00,PUT,156.7909999999999,156.8029999999999,loss
2026-02-02 20:10:00+00:00,PUT,156.75199999999992,156.76299999999992,loss
2026-02-02 20:20:00+00:00,PUT,156.80199999999994,156.71899999999994,win
2026-02-02 20:30:00+00:00,PUT,156.8029999999999,156.71699999999993,win
2026-02-02 20:40:00+00:00,PUT,156.76299999999992,156.71899999999994,win
2026-02-02 20:50:00+00:00,PUT,156.71899999999994,156.7259999999999,loss
2026-02-02 21:00:00+00:00,CALL,156.71699999999993,156.73599999999993,win
2026-02-02 21:10:00+00:00,CALL,156.71899999999994,156.73399999999992,win
2026-02-02 21:20:00+00:00,CALL,156.7259999999999,156.76399999999992,win
2026-02-02 21:30:00+00:00,CALL,156.73599999999993,156.78999999999994,win
2026-02-02 21:40:00+00:00,CALL,156.73399999999992,156.74699999999993,win
2026-02-02 21:50:00+00:00,CALL,156.76399999999992,156.71199999999993,loss
2026-02-02 22:00:00+00:00,CALL,156.78999999999994,156.7429999999999,loss
2026-02-02 22:10:00+00:00,CALL,156.74699999999993,156.74599999999992,loss
2026-02-02 22:20:00+00:00,CALL,156.71199999999993,156.68799999999993,loss
2026-02-02 22:30:00+00:00,CALL,156.7429999999999,156.72299999999993,loss
2026-02-02 22:40:00+00:00,CALL,156.74599999999992,156.69899999999993,loss
2026-02-02 22:50:00+00:00,CALL,156.68799999999993,156.68099999999993,loss
2026-02-03 20:00:00+00:00,PUT,156.95499999999993,156.9029999999999,win
2026-02-03 20:10:00+00:00,PUT,156.93699999999993,156.90799999999993,win
2026-02-03 20:20:00+00:00,PUT,156.9579999999999,156.9159999999999,win
2026-02-03 20:30:00+00:00,PUT,156.9029999999999,156.87599999999992,win
2026-02-03 20:40:00+00:00,PUT,156.90799999999993,156.86499999999992,win
2026-02-03 20:50:00+00:00,PUT,156.9159999999999,156.89999999999992,win
2026-02-03 21:00:00+00:00,CALL,156.87599999999992,156.89499999999992,win
2026-02-03 21:10:00+00:00,CALL,156.86499999999992,156.9209999999999,win
2026-02-03 21:20:00+00:00,CALL,156.89999999999992,156.90699999999993,win
2026-02-03 21:30:00+00:00,CALL,156.89499999999992,156.9329999999999,win
2026-02-03 21:40:00+00:00,CALL,156.9209999999999,156.9499999999999,win
2026-02-03 21:50:00+00:00,CALL,156.90699999999993,156.9569999999999,win
2026-02-03 22:00:00+00:00,CALL,156.9329999999999,156.9619999999999,win
2026-02-03 22:10:00+00:00,CALL,156.9499999999999,156.9459999999999,loss
2026-02-03 22:20:00+00:00,CALL,156.9569999999999,156.9489999999999,loss
2026-02-03 22:30:00+00:00,CALL,156.9619999999999,156.9089999999999,loss
2026-02-03 22:40:00+00:00,CALL,156.9459999999999,156.98799999999991,win
2026-02-03 22:50:00+00:00,CALL,156.9489999999999,157.0409999999999,win
2026-02-04 20:00:00+00:00,PUT,158.0609999999999,158.1269999999999,loss
2026-02-04 20:10:00+00:00,PUT,158.0619999999999,158.1109999999999,loss
2026-02-04 20:20:00+00:00,PUT,158.11899999999991,158.1409999999999,loss
2026-02-04 20:30:00+00:00,PUT,158.1269999999999,158.1159999999999,win
2026-02-04 20:40:00+00:00,PUT,158.1109999999999,158.1099999999999,win
2026-02-04 20:50:00+00:00,PUT,158.1409999999999,158.1159999999999,win
2026-02-04 21:00:00+00:00,CALL,158.1159999999999,158.1269999999999,win
2026-02-04 21:10:00+00:00,CALL,158.1099999999999,158.1079999999999,loss
2026-02-04 21:20:00+00:00,CALL,158.1159999999999,158.1079999999999,loss
2026-02-04 21:30:00+00:00,CALL,158.1269999999999,157.98099999999994,loss
2026-02-04 21:40:00+00:00,CALL,158.1079999999999,158.0209999999999,loss
2026-02-04 21:50:00+00:00,CALL,158.1079999999999,158.0089999999999,loss
2026-02-04 22:00:00+00:00,CALL,157.98099999999994,158.0019999999999,win
2026-02-04 22:10:00+00:00,CALL,158.0209999999999,158.0089999999999,loss
2026-02-04 22:20:00+00:00,CALL,158.0089999999999,158.0349999999999,win
2026-02-04 22:30:00+00:00,CALL,158.0019999999999,158.0519999999999,win
2026-02-04 22:40:00+00:00,CALL,158.0089999999999,158.0169999999999,win
2026-02-04 22:50:00+00:00,CALL,158.0349999999999,158.0379999999999,win
2026-02-05 20:00:00+00:00,PUT,158.1069999999999,158.1349999999999,loss
2026-02-05 20:10:00+00:00,PUT,158.1519999999999,158.22699999999992,loss
2026-02-05 20:20:00+00:00,PUT,158.1119999999999,158.20299999999992,loss
2026-02-05 20:30:00+00:00,PUT,158.1349999999999,158.22099999999992,loss
2026-02-05 20:40:00+00:00,PUT,158.22699999999992,158.2779999999999,loss
2026-02-05 20:50:00+00:00,PUT,158.20299999999992,158.2699999999999,loss
2026-02-05 21:00:00+00:00,CALL,158.22099999999992,158.2599999999999,win
2026-02-05 21:10:00+00:00,CALL,158.2779999999999,158.28699999999992,win
2026-02-05 21:20:00+00:00,CALL,158.2699999999999,158.2369999999999,loss
2026-02-05 21:30:00+00:00,CALL,158.2599999999999,158.16499999999994,loss
2026-02-05 21:40:00+00:00,CALL,158.28699999999992,158.11299999999994,loss
2026-02-05 21:50:00+00:00,CALL,158.2369999999999,158.13999999999993,loss
2026-02-05 22:00:00+00:00,CALL,158.16499999999994,158.13599999999994,loss
2026-02-05 22:10:00+00:00,CALL,158.11299999999994,158.13499999999993,win
2026-02-05 22:20:00+00:00,CALL,158.13999999999993,158.12799999999993,loss
2026-02-05 22:30:00+00:00,CALL,158.13599999999994,158.11299999999994,loss
2026-02-05 22:40:00+00:00,CALL,158.13499999999993,158.15099999999993,win
2026-02-05 22:50:00+00:00,CALL,158.12799999999993,158.03299999999993,loss
2026-02-06 20:00:00+00:00,PUT,158.20599999999993,158.21499999999995,loss
2026-02-06 20:10:00+00:00,PUT,158.21099999999993,158.21899999999994,loss
2026-02-06 20:20:00+00:00,PUT,158.22099999999995,158.23799999999994,loss
2026-02-06 20:30:00+00:00,PUT,158.21499999999995,158.21499999999995,scratch
2026-02-06 20:40:00+00:00,PUT,158.21899999999994,158.23199999999994,loss
2026-02-06 20:50:00+00:00,PUT,158.23799999999994,158.22099999999995,win
2026-02-06 21:00:00+00:00,CALL,158.21499999999995,158.25699999999992,win
2026-02-06 21:10:00+00:00,CALL,158.23199999999994,158.29899999999992,win
2026-02-06 21:20:00+00:00,CALL,158.22099999999995,158.33599999999993,win
2026-02-06 21:30:00+00:00,CALL,158.25699999999992,158.16799999999992,loss
2026-02-06 21:40:00+00:00,CALL,158.29899999999992,157.82999999999996,loss
2026-02-06 21:50:00+00:00,CALL,158.33599999999993,157.92199999999994,loss
2026-02-08 22:00:00+00:00,CALL,158.16799999999992,158.12899999999996,loss
2026-02-08 22:10:00+00:00,CALL,157.82999999999996,158.21699999999996,win
2026-02-08 22:20:00+00:00,CALL,157.92199999999994,158.16599999999994,win
2026-02-08 22:30:00+00:00,CALL,158.12899999999996,158.28899999999996,win
2026-02-08 22:40:00+00:00,CALL,158.21699999999996,158.42299999999994,win
2026-02-08 22:50:00+00:00,CALL,158.16599999999994,158.38199999999995,win
2026-02-09 20:00:00+00:00,PUT,156.54299999999995,156.54099999999994,win
2026-02-09 20:10:00+00:00,PUT,156.55399999999997,156.57999999999996,loss
2026-02-09 20:20:00+00:00,PUT,156.56299999999996,156.61499999999995,loss
2026-02-09 20:30:00+00:00,PUT,156.54099999999994,156.66599999999994,loss
2026-02-09 20:40:00+00:00,PUT,156.57999999999996,156.70299999999995,loss
2026-02-09 20:50:00+00:00,PUT,156.61499999999995,156.66199999999995,loss
2026-02-09 21:00:00+00:00,CALL,156.66599999999994,156.69199999999995,win
2026-02-09 21:10:00+00:00,CALL,156.70299999999995,156.67399999999995,loss
2026-02-09 21:20:00+00:00,CALL,156.66199999999995,156.65799999999996,loss
2026-02-09 21:30:00+00:00,CALL,156.69199999999995,156.52599999999995,loss
2026-02-09 21:40:00+00:00,CALL,156.67399999999995,156.4439999999999,loss
2026-02-09 21:50:00+00:00,CALL,156.65799999999996,156.42899999999997,loss
2026-02-09 22:00:00+00:00,CALL,156.52599999999995,156.42399999999998,loss
2026-02-09 22:10:00+00:00,CALL,156.4439999999999,156.41699999999997,loss
2026-02-09 22:20:00+00:00,CALL,156.42899999999997,156.44600000000003,win
2026-02-09 22:30:00+00:00,CALL,156.42399999999998,156.574,win
2026-02-09 22:40:00+00:00,CALL,156.41699999999997,156.573,win
2026-02-09 22:50:00+00:00,CALL,156.44600000000003,156.669,win
2026-02-10 20:00:00+00:00,PUT,154.97400000000002,154.943,win
2026-02-10 20:10:00+00:00,PUT,154.949,154.883,win
2026-02-10 20:20:00+00:00,PUT,154.942,154.94700000000003,loss
2026-02-10 20:30:00+00:00,PUT,154.943,154.96400000000003,loss
2026-02-10 20:40:00+00:00,PUT,154.883,154.98900000000003,loss
2026-02-10 20:50:00+00:00,PUT,154.94700000000003,154.98700000000002,loss
2026-02-10 21:00:00+00:00,CALL,154.96400000000003,154.98700000000002,win
2026-02-10 21:10:00+00:00,CALL,154.98900000000003,155.01600000000002,win
2026-02-10 21:20:00+00:00,CALL,154.98700000000002,155.043,win
2026-02-10 21:30:00+00:00,CALL,154.98700000000002,155.12000000000003,win
2026-02-10 21:40:00+00:00,CALL,155.01600000000002,155.091,win
2026-02-10 21:50:00+00:00,CALL,155.043,155.086,win
2026-02-10 22:00:00+00:00,CALL,155.12000000000003,155.134,win
2026-02-10 22:10:00+00:00,CALL,155.091,155.14700000000002,win
2026-02-10 22:20:00+00:00,CALL,155.086,155.14400000000003,win
2026-02-10 22:30:00+00:00,CALL,155.134,155.19600000000003,win
2026-02-10 22:40:00+00:00,CALL,155.14700000000002,155.259,win
2026-02-10 22:50:00+00:00,CALL,155.14400000000003,155.24600000000004,win
2026-02-11 20:00:00+00:00,PUT,153.79000000000002,153.86300000000003,loss
2026-02-11 20:10:00+00:00,PUT,153.765,153.90500000000003,loss
2026-02-11 20:20:00+00:00,PUT,153.824,153.96000000000004,loss
2026-02-11 20:30:00+00:00,PUT,153.86300000000003,154.01000000000002,loss
2026-02-11 20:40:00+00:00,PUT,153.90500000000003,154.03700000000003,loss
2026-02-11 20:50:00+00:00,PUT,153.96000000000004,153.97500000000002,loss
2026-02-11 21:00:00+00:00,CALL,154.01000000000002,154.009,loss
2026-02-11 21:10:00+00:00,CALL,154.03700000000003,154.01300000000003,loss
2026-02-11 21:20:00+00:00,CALL,153.97500000000002,154.05200000000002,win
2026-02-11 21:30:00+00:00,CALL,154.009,153.78600000000006,loss
2026-02-11 21:40:00+00:00,CALL,154.01300000000003,153.75200000000007,loss
2026-02-11 21:50:00+00:00,CALL,154.05200000000002,153.76000000000002,loss
2026-02-11 22:00:00+00:00,CALL,153.78600000000006,153.77700000000002,loss
2026-02-11 22:10:00+00:00,CALL,153.75200000000007,153.77700000000002,win
2026-02-11 22:20:00+00:00,CALL,153.76000000000002,153.775,win
2026-02-11 22:30:00+00:00,CALL,153.77700000000002,153.832,win
2026-02-11 22:40:00+00:00,CALL,153.77700000000002,153.871,win
2026-02-11 22:50:00+00:00,CALL,153.775,153.821,win
2026-02-12 20:00:00+00:00,PUT,153.57,153.565,win
2026-02-12 20:10:00+00:00,PUT,153.56900000000002,153.479,win
2026-02-12 20:20:00+00:00,PUT,153.562,153.41500000000002,win
2026-02-12 20:30:00+00:00,PUT,153.565,153.36100000000002,win
2026-02-12 20:40:00+00:00,PUT,153.479,153.407,win
2026-02-12 20:50:00+00:00,PUT,153.41500000000002,153.42000000000002,loss
2026-02-12 21:00:00+00:00,CALL,153.36100000000002,153.416,win
2026-02-12 21:10:00+00:00,CALL,153.407,153.42600000000002,win
2026-02-12 21:20:00+00:00,CALL,153.42000000000002,153.407,loss
2026-02-12 21:30:00+00:00,CALL,153.416,153.376,loss
2026-02-12 21:40:00+00:00,CALL,153.42600000000002,153.46099999999998,win
2026-02-12 21:50:00+00:00,CALL,153.407,153.435,win
2026-02-12 22:00:00+00:00,CALL,153.376,153.45600000000002,win
2026-02-12 22:10:00+00:00,CALL,153.46099999999998,153.45700000000002,loss
2026-02-12 22:20:00+00:00,CALL,153.435,153.41500000000002,loss
2026-02-12 22:30:00+00:00,CALL,153.45600000000002,153.45900000000003,win
2026-02-12 22:40:00+00:00,CALL,153.45700000000002,153.52100000000002,win
2026-02-12 22:50:00+00:00,CALL,153.41500000000002,153.53500000000005,win
2026-02-13 20:00:00+00:00,PUT,153.52800000000002,153.45400000000004,win
2026-02-13 20:10:00+00:00,PUT,153.51200000000003,153.473,win
2026-02-13 20:20:00+00:00,PUT,153.51200000000003,153.431,win
2026-02-13 20:30:00+00:00,PUT,153.45400000000004,153.378,win
2026-02-13 20:40:00+00:00,PUT,153.473,153.39700000000002,win
2026-02-13 20:50:00+00:00,PUT,153.431,153.366,win
2026-02-13 21:00:00+00:00,CALL,153.378,153.42200000000005,win
2026-02-13 21:10:00+00:00,CALL,153.39700000000002,153.41700000000003,win
2026-02-13 21:20:00+00:00,CALL,153.366,153.41000000000005,win
2026-02-13 21:30:00+00:00,CALL,153.42200000000005,153.36500000000004,loss
2026-02-13 21:40:00+00:00,CALL,153.41700000000003,153.34400000000008,loss
2026-02-13 21:50:00+00:00,CALL,153.41000000000005,153.27600000000004,loss
2026-02-15 22:00:00+00:00,CALL,153.36500000000004,153.31300000000005,loss
2026-02-15 22:10:00+00:00,CALL,153.34400000000008,153.30500000000004,loss
2026-02-15 22:20:00+00:00,CALL,153.27600000000004,153.33900000000006,win
2026-02-15 22:30:00+00:00,CALL,153.31300000000005,153.37400000000005,win
2026-02-15 22:40:00+00:00,CALL,153.30500000000004,153.44200000000004,win
2026-02-15 22:50:00+00:00,CALL,153.33900000000006,153.46300000000005,win
2026-02-16 20:00:00+00:00,PUT,154.1810000000001,154.1570000000001,win
2026-02-16 20:10:00+00:00,PUT,154.16800000000012,154.1700000000001,loss
2026-02-16 20:20:00+00:00,PUT,154.1650000000001,154.1700000000001,loss
2026-02-16 20:30:00+00:00,PUT,154.1570000000001,154.2080000000001,loss
2026-02-16 20:40:00+00:00,PUT,154.1700000000001,154.2110000000001,loss
2026-02-16 20:50:00+00:00,PUT,154.1700000000001,154.20600000000007,loss
2026-02-16 21:00:00+00:00,CALL,154.2080000000001,154.20200000000008,loss
2026-02-16 21:10:00+00:00,CALL,154.2110000000001,154.20600000000007,loss
2026-02-16 21:20:00+00:00,CALL,154.20600000000007,154.21700000000007,win
2026-02-16 21:30:00+00:00,CALL,154.20200000000008,154.21600000000004,win
2026-02-16 21:40:00+00:00,CALL,154.20600000000007,154.158,loss
2026-02-16 21:50:00+00:00,CALL,154.21700000000007,154.172,loss
2026-02-16 22:00:00+00:00,CALL,154.21600000000004,154.17999999999998,loss
2026-02-16 22:10:00+00:00,CALL,154.158,154.22199999999998,win
2026-02-16 22:20:00+00:00,CALL,154.172,154.22299999999996,win
2026-02-16 22:30:00+00:00,CALL,154.17999999999998,154.23899999999995,win
2026-02-16 22:40:00+00:00,CALL,154.22199999999998,154.35699999999997,win
2026-02-16 22:50:00+00:00,CALL,154.22299999999996,154.34399999999997,win
2026-02-17 20:00:00+00:00,PUT,153.92399999999995,153.94799999999995,loss
2026-02-17 20:10:00+00:00,PUT,153.98199999999997,153.97799999999995,win
2026-02-17 20:20:00+00:00,PUT,153.99399999999997,153.96599999999995,win
2026-02-17 20:30:00+00:00,PUT,153.94799999999995,153.95999999999995,loss
2026-02-17 20:40:00+00:00,PUT,153.97799999999995,153.94999999999996,win
2026-02-17 20:50:00+00:00,PUT,153.96599999999995,153.98399999999995,loss
2026-02-17 21:00:00+00:00,CALL,153.95999999999995,153.97899999999996,win
2026-02-17 21:10:00+00:00,CALL,153.94999999999996,153.96799999999996,win
2026-02-17 21:20:00+00:00,CALL,153.98399999999995,153.99099999999996,win
2026-02-17 21:30:00+00:00,CALL,153.97899999999996,153.88399999999996,loss
2026-02-17 21:40:00+00:00,CALL,153.96799999999996,153.86099999999993,loss
2026-02-17 21:50:00+00:00,CALL,153.99099999999996,153.86299999999994,loss
2026-02-17 22:00:00+00:00,CALL,153.88399999999996,153.87199999999993,loss
2026-02-17 22:10:00+00:00,CALL,153.86099999999993,153.90599999999992,win
2026-02-17 22:20:00+00:00,CALL,153.86299999999994,153.92199999999994,win
2026-02-17 22:30:00+00:00,CALL,153.87199999999993,153.89799999999994,win
2026-02-17 22:40:00+00:00,CALL,153.90599999999992,153.93099999999993,win
2026-02-17 22:50:00+00:00,CALL,153.92199999999994,153.96299999999994,win
2026-02-18 20:00:00+00:00,PUT,155.39899999999994,155.45999999999992,loss
2026-02-18 20:10:00+00:00,PUT,155.42199999999994,155.47499999999994,loss
2026-02-18 20:20:00+00:00,PUT,155.44899999999993,155.48799999999994,loss
2026-02-18 20:30:00+00:00,PUT,155.45999999999992,155.47299999999993,loss
2026-02-18 20:40:00+00:00,PUT,155.47499999999994,155.47199999999992,win
2026-02-18 20:50:00+00:00,PUT,155.48799999999994,155.49699999999993,loss
2026-02-18 21:00:00+00:00,CALL,155.47299999999993,155.51099999999994,win
2026-02-18 21:10:00+00:00,CALL,155.47199999999992,155.50899999999993,win
2026-02-18 21:20:00+00:00,CALL,155.49699999999993,155.49899999999994,win
2026-02-18 21:30:00+00:00,CALL,155.51099999999994,155.43899999999994,loss
2026-02-18 21:40:00+00:00,CALL,155.50899999999993,155.40099999999993,loss
2026-02-18 21:50:00+00:00,CALL,155.49899999999994,155.39299999999994,loss
2026-02-18 22:00:00+00:00,CALL,155.43899999999994,155.41099999999994,loss
2026-02-18 22:10:00+00:00,CALL,155.40099999999993,155.42999999999992,win
2026-02-18 22:20:00+00:00,CALL,155.39299999999994,155.43199999999993,win
2026-02-18 22:30:00+00:00,CALL,155.41099999999994,155.39399999999992,loss
2026-02-18 22:40:00+00:00,CALL,155.42999999999992,155.42599999999993,loss
2026-02-18 22:50:00+00:00,CALL,155.43199999999993,155.42099999999994,loss
